Sex,DVRT,Educational_level,Prestige_score,Type_school,target
male,107.0,Senior_cycle_terminal_leaver-secondary_school,75.0,secondary,taken
female,70.0,Junior_cycle_terminal_leaver-vocational_school,31.0,vocational,not_taken
female,105.0,Junior_cycle_incomplete-secondary_school,57.0,secondary,not_taken
female,109.0,Junior_cycle_terminal_leaver-secondary_school,28.0,secondary,not_taken
female,100.0,Senior_cycle_terminal_leaver-secondary_school,57.0,secondary,taken
male,100.0,Junior_cycle_terminal_leaver-vocational_school,35.0,vocational,not_taken
female,86.0,Junior_cycle_terminal_leaver-vocational_school,40.0,vocational,not_taken
male,129.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
male,109.0,Junior_cycle_terminal_leaver-secondary_school,37.0,secondary,not_taken
female,110.0,Senior_cycle_terminal_leaver-secondary_school,40.0,secondary,taken
male,112.0,Junior_cycle_incomplete-secondary_school,18.0,secondary,not_taken
female,102.0,Junior_cycle_terminal_leaver-vocational_school,42.0,vocational,not_taken
male,112.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
male,95.0,Junior_cycle_incomplete-secondary_school,43.0,secondary,not_taken
male,101.0,Senior_cycle_terminal_leaver-secondary_school,61.0,secondary,taken
male,117.0,Senior_cycle_terminal_leaver-secondary_school,,secondary,taken
female,88.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,120.0,3rd_level_complete,40.0,secondary,taken
female,83.0,Primary_terminal_leaver,28.0,primary_terminal_leaver,not_taken
male,88.0,Junior_cycle_incomplete-vocational_school,58.0,vocational,not_taken
male,100.0,Senior_cycle_incomplete-vocational_school,37.0,vocational,not_taken
male,117.0,Senior_cycle_terminal_leaver-secondary_school,42.0,secondary,taken
female,86.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
male,109.0,,43.0,secondary,not_taken
female,111.0,Senior_cycle_incomplete-secondary_school,37.0,secondary,not_taken
male,85.0,Junior_cycle_terminal_leaver-vocational_school,28.0,vocational,not_taken
female,100.0,Junior_cycle_incomplete-secondary_school,18.0,secondary,not_taken
male,126.0,3rd_level_complete,27.0,secondary,taken
male,108.0,Junior_cycle_terminal_leaver-vocational_school,69.0,vocational,not_taken
male,125.0,3rd_level_complete,31.0,secondary,taken
female,93.0,Senior_cycle_terminal_leaver-secondary_school,38.0,secondary,taken
male,121.0,Junior_cycle_terminal_leaver-secondary_school,57.0,secondary,not_taken
female,97.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
female,81.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
male,100.0,Junior_cycle_terminal_leaver-vocational_school,43.0,vocational,not_taken
female,111.0,Junior_cycle_terminal_leaver-secondary_school,51.0,secondary,not_taken
male,96.0,Junior_cycle_terminal_leaver-secondary_school,37.0,secondary,not_taken
female,105.0,Junior_cycle_terminal_leaver-secondary_school,28.0,secondary,not_taken
male,103.0,Junior_cycle_terminal_leaver-secondary_school,,secondary,not_taken
male,93.0,Senior_cycle_terminal_leaver-secondary_school,51.0,secondary,taken
male,122.0,Senior_cycle_terminal_leaver-secondary_school,62.0,secondary,taken
male,106.0,3rd_level_complete,42.0,secondary,taken
male,98.0,Junior_cycle_incomplete-vocational_school,43.0,vocational,not_taken
female,93.0,Senior_cycle_terminal_leaver-secondary_school,69.0,secondary,taken
female,106.0,Junior_cycle_terminal_leaver-vocational_school,28.0,vocational,not_taken
male,127.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
male,116.0,Senior_cycle_terminal_leaver-secondary_school,75.0,secondary,taken
male,130.0,Senior_cycle_incomplete-vocational_school,,vocational,not_taken
female,97.0,Junior_cycle_incomplete-vocational_school,36.0,vocational,not_taken
female,107.0,Junior_cycle_incomplete-secondary_school,18.0,secondary,not_taken
male,97.0,3rd_level_complete,40.0,secondary,taken
female,117.0,3rd_level_complete,57.0,secondary,taken
male,103.0,Senior_cycle_terminal_leaver-secondary_school,28.0,vocational,taken
male,116.0,,18.0,secondary,not_taken
female,102.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
female,112.0,Junior_cycle_incomplete-vocational_school,37.0,vocational,not_taken
female,99.0,3rd_level_complete,37.0,secondary,taken
female,96.0,Junior_cycle_terminal_leaver-secondary_school,28.0,secondary,not_taken
male,88.0,Junior_cycle_terminal_leaver-vocational_school,37.0,vocational,not_taken
female,114.0,Senior_cycle_terminal_leaver-secondary_school,75.0,secondary,taken
male,107.0,Senior_cycle_terminal_leaver-secondary_school,40.0,secondary,taken
female,84.0,Junior_cycle_terminal_leaver-secondary_school,37.0,secondary,not_taken
male,104.0,Junior_cycle_terminal_leaver-secondary_school,43.0,secondary,not_taken
female,91.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
male,99.0,Senior_cycle_terminal_leaver-secondary_school,18.0,secondary,taken
male,140.0,3rd_level_complete,71.0,secondary,taken
female,100.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,90.0,Junior_cycle_incomplete-secondary_school,37.0,secondary,not_taken
male,80.0,Primary_terminal_leaver,58.0,primary_terminal_leaver,not_taken
female,109.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
male,99.0,Junior_cycle_incomplete-secondary_school,43.0,secondary,not_taken
male,103.0,Primary_terminal_leaver,43.0,primary_terminal_leaver,not_taken
female,108.0,Senior_cycle_terminal_leaver-secondary_school,27.0,secondary,taken
male,113.0,3rd_level_complete,61.0,secondary,taken
female,103.0,3rd_level_complete,28.0,secondary,taken
male,121.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,115.0,Junior_cycle_incomplete-secondary_school,36.0,secondary,not_taken
male,70.0,Primary_terminal_leaver,18.0,primary_terminal_leaver,not_taken
male,86.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
male,71.0,Senior_cycle_incomplete-vocational_school,40.0,vocational,not_taken
female,92.0,Junior_cycle_terminal_leaver-vocational_school,37.0,vocational,not_taken
male,114.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,100.0,Junior_cycle_terminal_leaver-secondary_school,62.0,secondary,not_taken
male,119.0,3rd_level_complete,71.0,secondary,taken
female,116.0,Senior_cycle_terminal_leaver-secondary_school,18.0,secondary,taken
male,90.0,Junior_cycle_terminal_leaver-secondary_school,37.0,secondary,not_taken
female,105.0,Junior_cycle_terminal_leaver-vocational_school,46.0,vocational,not_taken
male,76.0,Junior_cycle_incomplete-vocational_school,,vocational,not_taken
male,70.0,Primary_terminal_leaver,58.0,primary_terminal_leaver,not_taken
male,88.0,Junior_cycle_incomplete-vocational_school,43.0,vocational,not_taken
female,81.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,107.0,Junior_cycle_incomplete-secondary_school,57.0,secondary,not_taken
male,104.0,Senior_cycle_terminal_leaver-secondary_school,61.0,secondary,taken
female,94.0,Junior_cycle_incomplete-secondary_school,28.0,secondary,not_taken
male,103.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,91.0,Primary_terminal_leaver,18.0,primary_terminal_leaver,not_taken
male,70.0,Primary_terminal_leaver,58.0,primary_terminal_leaver,not_taken
male,123.0,Junior_cycle_incomplete-secondary_school,43.0,secondary,not_taken
female,103.0,Senior_cycle_terminal_leaver-secondary_school,38.0,secondary,taken
female,122.0,3rd_level_complete,38.0,secondary,taken
female,86.0,Junior_cycle_terminal_leaver-vocational_school,37.0,vocational,not_taken
male,96.0,Junior_cycle_terminal_leaver-vocational_school,18.0,vocational,not_taken
female,100.0,Senior_cycle_terminal_leaver-secondary_school,31.0,secondary,taken
male,84.0,Junior_cycle_incomplete-vocational_school,61.0,vocational,not_taken
male,97.0,Junior_cycle_terminal_leaver-secondary_school,35.0,secondary,not_taken
female,111.0,Junior_cycle_terminal_leaver-secondary_school,,secondary,not_taken
female,106.0,Junior_cycle_incomplete-vocational_school,,vocational,not_taken
male,109.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
male,84.0,Primary_terminal_leaver,,primary_terminal_leaver,not_taken
female,115.0,Senior_cycle_terminal_leaver-secondary_school,35.0,secondary,taken
female,93.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
female,100.0,Junior_cycle_terminal_leaver-vocational_school,27.0,vocational,not_taken
male,90.0,Senior_cycle_incomplete-vocational_school,43.0,vocational,not_taken
male,115.0,Senior_cycle_terminal_leaver-secondary_school,27.0,secondary,taken
male,103.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
female,103.0,3rd_level_complete,37.0,secondary,taken
female,105.0,Senior_cycle_terminal_leaver-secondary_school,18.0,vocational,taken
male,92.0,Senior_cycle_incomplete-vocational_school,38.0,vocational,not_taken
male,88.0,Junior_cycle_terminal_leaver-vocational_school,28.0,vocational,not_taken
female,98.0,Junior_cycle_terminal_leaver-secondary_school,37.0,secondary,not_taken
female,86.0,Junior_cycle_terminal_leaver-secondary_school,28.0,secondary,not_taken
female,103.0,Senior_cycle_terminal_leaver-secondary_school,30.0,secondary,taken
male,124.0,Senior_cycle_terminal_leaver-secondary_school,62.0,secondary,taken
male,110.0,Senior_cycle_incomplete-vocational_school,37.0,vocational,not_taken
male,80.0,Junior_cycle_terminal_leaver-vocational_school,65.0,vocational,not_taken
male,125.0,Senior_cycle_terminal_leaver-secondary_school,18.0,secondary,taken
male,103.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
male,122.0,Senior_cycle_terminal_leaver-secondary_school,40.0,secondary,taken
female,77.0,Primary_terminal_leaver,,primary_terminal_leaver,not_taken
male,114.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,104.0,Junior_cycle_incomplete-secondary_school,37.0,secondary,not_taken
male,95.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
female,70.0,Senior_cycle_incomplete-secondary_school,37.0,secondary,not_taken
male,113.0,Junior_cycle_terminal_leaver-vocational_school,,vocational,not_taken
male,106.0,Senior_cycle_terminal_leaver-secondary_school,75.0,secondary,taken
male,104.0,Senior_cycle_incomplete-vocational_school,40.0,vocational,not_taken
female,123.0,Junior_cycle_terminal_leaver-secondary_school,28.0,secondary,not_taken
female,100.0,Senior_cycle_terminal_leaver-secondary_school,57.0,secondary,taken
female,104.0,Junior_cycle_terminal_leaver-secondary_school,64.0,secondary,not_taken
male,70.0,Junior_cycle_terminal_leaver-secondary_school,58.0,secondary,not_taken
male,96.0,Junior_cycle_incomplete-secondary_school,18.0,secondary,not_taken
female,93.0,Junior_cycle_terminal_leaver-vocational_school,37.0,vocational,not_taken
female,97.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
female,106.0,Junior_cycle_terminal_leaver-vocational_school,18.0,vocational,not_taken
female,88.0,Junior_cycle_incomplete-secondary_school,57.0,secondary,not_taken
female,102.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
female,109.0,Senior_cycle_terminal_leaver-secondary_school,58.0,secondary,taken
male,109.0,Senior_cycle_terminal_leaver-secondary_school,57.0,secondary,taken
male,104.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
male,101.0,Senior_cycle_terminal_leaver-secondary_school,35.0,secondary,taken
female,102.0,Senior_cycle_terminal_leaver-secondary_school,40.0,secondary,taken
female,95.0,3rd_level_complete,37.0,secondary,taken
female,97.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
male,90.0,Junior_cycle_incomplete-vocational_school,58.0,vocational,not_taken
female,94.0,Junior_cycle_terminal_leaver-vocational_school,43.0,vocational,not_taken
male,78.0,Senior_cycle_terminal_leaver-secondary_school,58.0,vocational,taken
female,78.0,Senior_cycle_terminal_leaver-secondary_school,46.0,secondary,taken
female,70.0,Junior_cycle_terminal_leaver-vocational_school,35.0,vocational,not_taken
female,86.0,Primary_terminal_leaver,,primary_terminal_leaver,not_taken
female,72.0,Senior_cycle_terminal_leaver-secondary_school,18.0,secondary,taken
female,104.0,Senior_cycle_terminal_leaver-secondary_school,18.0,secondary,taken
male,107.0,Junior_cycle_incomplete-secondary_school,58.0,secondary,not_taken
male,120.0,,75.0,secondary,not_taken
female,91.0,3rd_level_complete,58.0,secondary,taken
male,108.0,Junior_cycle_terminal_leaver-vocational_school,,vocational,not_taken
female,101.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
male,87.0,Senior_cycle_terminal_leaver-secondary_school,18.0,secondary,taken
female,104.0,Senior_cycle_incomplete-vocational_school,37.0,vocational,not_taken
female,114.0,3rd_level_incomplete,57.0,secondary,taken
female,106.0,Junior_cycle_terminal_leaver-vocational_school,,vocational,not_taken
male,105.0,Senior_cycle_incomplete-secondary_school,57.0,secondary,not_taken
male,99.0,Junior_cycle_terminal_leaver-vocational_school,35.0,vocational,not_taken
female,112.0,3rd_level_complete,62.0,secondary,taken
female,122.0,Junior_cycle_terminal_leaver-vocational_school,18.0,vocational,not_taken
female,127.0,Senior_cycle_terminal_leaver-secondary_school,62.0,secondary,taken
female,86.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
male,90.0,Senior_cycle_terminal_leaver-secondary_school,58.0,secondary,taken
male,102.0,Junior_cycle_incomplete-secondary_school,18.0,secondary,not_taken
male,104.0,3rd_level_incomplete,69.0,secondary,taken
female,75.0,Junior_cycle_incomplete-vocational_school,28.0,vocational,not_taken
female,89.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
male,98.0,Junior_cycle_incomplete-vocational_school,28.0,vocational,not_taken
male,114.0,Senior_cycle_terminal_leaver-secondary_school,61.0,secondary,taken
female,103.0,Primary_terminal_leaver,28.0,primary_terminal_leaver,not_taken
female,98.0,Junior_cycle_incomplete-vocational_school,37.0,vocational,not_taken
female,116.0,Senior_cycle_terminal_leaver-secondary_school,,secondary,taken
