Sex,DVRT,Educational_level,Prestige_score,Type_school,target
female,100.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
female,97.0,Junior_cycle_terminal_leaver-vocational_school,37.0,vocational,not_taken
female,91.0,Junior_cycle_incomplete-vocational_school,37.0,vocational,not_taken
female,70.0,Primary_terminal_leaver,18.0,primary_terminal_leaver,not_taken
male,95.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,84.0,Junior_cycle_terminal_leaver-vocational_school,18.0,vocational,not_taken
female,91.0,Junior_cycle_terminal_leaver-secondary_school,28.0,secondary,not_taken
female,82.0,Junior_cycle_terminal_leaver-secondary_school,35.0,secondary,not_taken
female,107.0,3rd_level_complete,37.0,secondary,taken
female,70.0,Primary_terminal_leaver,18.0,primary_terminal_leaver,not_taken
female,112.0,Senior_cycle_terminal_leaver-secondary_school,18.0,secondary,taken
male,102.0,Junior_cycle_terminal_leaver-vocational_school,43.0,vocational,not_taken
female,104.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
male,104.0,Junior_cycle_terminal_leaver-secondary_school,36.0,secondary,not_taken
male,84.0,Junior_cycle_terminal_leaver-vocational_school,18.0,vocational,not_taken
female,116.0,Junior_cycle_terminal_leaver-secondary_school,47.0,secondary,not_taken
male,106.0,Senior_cycle_terminal_leaver-secondary_school,28.0,secondary,taken
female,101.0,3rd_level_complete,43.0,secondary,taken
female,85.0,Junior_cycle_terminal_leaver-secondary_school,31.0,secondary,not_taken
male,90.0,Junior_cycle_incomplete-vocational_school,28.0,vocational,not_taken
male,114.0,3rd_level_complete,18.0,secondary,taken
male,99.0,Junior_cycle_incomplete-secondary_school,,secondary,not_taken
male,94.0,Senior_cycle_terminal_leaver-secondary_school,,secondary,taken
male,116.0,3rd_level_complete,18.0,secondary,taken
male,104.0,3rd_level_complete,75.0,secondary,taken
female,94.0,Junior_cycle_terminal_leaver-vocational_school,37.0,vocational,not_taken
female,115.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
female,102.0,Primary_terminal_leaver,38.0,primary_terminal_leaver,not_taken
female,103.0,Junior_cycle_terminal_leaver-secondary_school,43.0,secondary,not_taken
male,91.0,Junior_cycle_terminal_leaver-secondary_school,40.0,secondary,not_taken
male,70.0,Junior_cycle_incomplete-secondary_school,18.0,secondary,not_taken
female,123.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,109.0,3rd_level_incomplete,43.0,secondary,taken
male,107.0,Senior_cycle_terminal_leaver-secondary_school,40.0,secondary,taken
male,112.0,Senior_cycle_terminal_leaver-secondary_school,40.0,secondary,taken
female,135.0,3rd_level_complete,62.0,secondary,taken
female,102.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,99.0,3rd_level_complete,69.0,secondary,taken
male,81.0,Primary_terminal_leaver,18.0,primary_terminal_leaver,not_taken
male,93.0,Junior_cycle_terminal_leaver-vocational_school,18.0,vocational,not_taken
female,89.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
male,82.0,Junior_cycle_terminal_leaver-vocational_school,18.0,vocational,not_taken
male,108.0,Senior_cycle_terminal_leaver-secondary_school,58.0,secondary,taken
male,110.0,Senior_cycle_terminal_leaver-secondary_school,53.0,secondary,taken
female,114.0,Junior_cycle_terminal_leaver-vocational_school,28.0,vocational,not_taken
male,70.0,Junior_cycle_terminal_leaver-secondary_school,31.0,secondary,not_taken
female,73.0,Junior_cycle_terminal_leaver-secondary_school,37.0,secondary,not_taken
female,100.0,Primary_terminal_leaver,28.0,primary_terminal_leaver,not_taken
male,124.0,Senior_cycle_terminal_leaver-secondary_school,65.0,secondary,taken
female,109.0,Junior_cycle_terminal_leaver-secondary_school,69.0,secondary,not_taken
male,70.0,Senior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
female,85.0,Senior_cycle_terminal_leaver-secondary_school,57.0,secondary,taken
male,99.0,Junior_cycle_terminal_leaver-vocational_school,18.0,vocational,not_taken
male,100.0,Junior_cycle_incomplete-vocational_school,43.0,vocational,not_taken
male,90.0,Junior_cycle_incomplete-secondary_school,27.0,secondary,not_taken
male,70.0,Primary_terminal_leaver,31.0,primary_terminal_leaver,not_taken
female,88.0,Junior_cycle_terminal_leaver-secondary_school,37.0,secondary,not_taken
female,109.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
male,127.0,3rd_level_complete,40.0,secondary,taken
male,125.0,3rd_level_complete,28.0,secondary,taken
female,81.0,Junior_cycle_terminal_leaver-secondary_school,37.0,secondary,not_taken
male,115.0,Junior_cycle_terminal_leaver-secondary_school,37.0,secondary,not_taken
male,73.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
male,105.0,Junior_cycle_incomplete-vocational_school,31.0,vocational,not_taken
male,117.0,Senior_cycle_incomplete-vocational_school,28.0,vocational,not_taken
female,93.0,Senior_cycle_terminal_leaver-secondary_school,57.0,secondary,taken
female,103.0,Junior_cycle_terminal_leaver-secondary_school,38.0,secondary,not_taken
male,91.0,Junior_cycle_incomplete-vocational_school,28.0,vocational,not_taken
female,108.0,Junior_cycle_terminal_leaver-vocational_school,28.0,vocational,not_taken
female,75.0,Junior_cycle_incomplete-vocational_school,33.0,vocational,not_taken
male,122.0,3rd_level_complete,35.0,secondary,taken
male,92.0,Junior_cycle_terminal_leaver-vocational_school,33.0,vocational,not_taken
female,94.0,Junior_cycle_incomplete-vocational_school,37.0,vocational,not_taken
male,127.0,3rd_level_complete,37.0,secondary,taken
male,94.0,Junior_cycle_incomplete-vocational_school,43.0,vocational,not_taken
male,70.0,Junior_cycle_terminal_leaver-vocational_school,,vocational,not_taken
male,109.0,Senior_cycle_terminal_leaver-secondary_school,40.0,secondary,taken
male,111.0,Senior_cycle_terminal_leaver-secondary_school,69.0,secondary,taken
male,94.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
female,100.0,Junior_cycle_incomplete-secondary_school,37.0,secondary,not_taken
male,124.0,Senior_cycle_terminal_leaver-secondary_school,36.0,secondary,taken
female,104.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
female,106.0,3rd_level_complete,61.0,secondary,taken
male,97.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
male,114.0,Junior_cycle_terminal_leaver-secondary_school,66.0,secondary,not_taken
female,85.0,Senior_cycle_terminal_leaver-secondary_school,28.0,secondary,taken
female,84.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
male,113.0,3rd_level_complete,37.0,secondary,taken
female,110.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,118.0,3rd_level_complete,65.0,secondary,taken
male,81.0,Primary_terminal_leaver,18.0,primary_terminal_leaver,not_taken
female,104.0,Junior_cycle_terminal_leaver-secondary_school,43.0,secondary,not_taken
male,78.0,Junior_cycle_terminal_leaver-vocational_school,31.0,vocational,not_taken
female,119.0,3rd_level_complete,37.0,secondary,taken
female,123.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
male,70.0,Primary_terminal_leaver,37.0,primary_terminal_leaver,not_taken
female,117.0,3rd_level_complete,37.0,secondary,taken
male,113.0,Junior_cycle_terminal_leaver-vocational_school,28.0,vocational,not_taken
female,91.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
male,84.0,,33.0,secondary,not_taken
male,70.0,Junior_cycle_incomplete-secondary_school,18.0,secondary,not_taken
female,70.0,Junior_cycle_incomplete-vocational_school,,vocational,not_taken
female,70.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,87.0,Senior_cycle_terminal_leaver-secondary_school,18.0,vocational,taken
male,118.0,Junior_cycle_terminal_leaver-vocational_school,18.0,vocational,not_taken
male,103.0,Senior_cycle_terminal_leaver-secondary_school,35.0,secondary,taken
female,91.0,Junior_cycle_terminal_leaver-vocational_school,28.0,vocational,not_taken
male,103.0,Junior_cycle_terminal_leaver-vocational_school,33.0,vocational,not_taken
female,89.0,Senior_cycle_incomplete-secondary_school,37.0,secondary,not_taken
male,101.0,Primary_terminal_leaver,28.0,primary_terminal_leaver,not_taken
female,110.0,Senior_cycle_terminal_leaver-secondary_school,61.0,secondary,taken
female,120.0,Senior_cycle_terminal_leaver-secondary_school,61.0,secondary,taken
male,86.0,Junior_cycle_terminal_leaver-vocational_school,31.0,vocational,not_taken
female,90.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
female,93.0,Junior_cycle_terminal_leaver-secondary_school,43.0,secondary,not_taken
female,90.0,Junior_cycle_terminal_leaver-secondary_school,69.0,secondary,not_taken
male,90.0,Junior_cycle_incomplete-secondary_school,46.0,secondary,not_taken
male,93.0,Junior_cycle_incomplete-vocational_school,37.0,vocational,not_taken
female,104.0,Junior_cycle_incomplete-secondary_school,18.0,secondary,not_taken
female,90.0,Junior_cycle_terminal_leaver-vocational_school,37.0,vocational,not_taken
female,114.0,Senior_cycle_terminal_leaver-secondary_school,48.0,secondary,taken
female,106.0,Senior_cycle_terminal_leaver-secondary_school,51.0,secondary,taken
male,129.0,3rd_level_incomplete,,secondary,taken
male,113.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
female,110.0,Junior_cycle_terminal_leaver-secondary_school,28.0,secondary,not_taken
male,93.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
male,112.0,Senior_cycle_terminal_leaver-secondary_school,75.0,secondary,taken
male,70.0,Junior_cycle_terminal_leaver-vocational_school,57.0,vocational,not_taken
male,110.0,Junior_cycle_terminal_leaver-vocational_school,37.0,vocational,not_taken
female,113.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
female,102.0,Junior_cycle_incomplete-secondary_school,37.0,secondary,not_taken
male,118.0,Senior_cycle_terminal_leaver-secondary_school,18.0,vocational,taken
male,79.0,Junior_cycle_terminal_leaver-vocational_school,46.0,vocational,not_taken
female,82.0,Junior_cycle_terminal_leaver-secondary_school,57.0,secondary,not_taken
male,135.0,3rd_level_complete,61.0,secondary,taken
female,85.0,Primary_terminal_leaver,18.0,primary_terminal_leaver,not_taken
male,86.0,Primary_terminal_leaver,18.0,primary_terminal_leaver,not_taken
female,127.0,Junior_cycle_incomplete-vocational_school,35.0,vocational,not_taken
male,113.0,3rd_level_complete,65.0,secondary,taken
male,91.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
male,117.0,Senior_cycle_incomplete-secondary_school,18.0,secondary,not_taken
female,100.0,Senior_cycle_terminal_leaver-secondary_school,18.0,secondary,taken
male,101.0,Junior_cycle_incomplete-vocational_school,28.0,vocational,not_taken
female,92.0,Senior_cycle_terminal_leaver-secondary_school,75.0,secondary,taken
male,87.0,Primary_terminal_leaver,43.0,primary_terminal_leaver,not_taken
male,114.0,3rd_level_complete,75.0,secondary,taken
female,104.0,Senior_cycle_terminal_leaver-secondary_school,18.0,secondary,taken
male,136.0,3rd_level_complete,18.0,secondary,taken
female,90.0,Senior_cycle_terminal_leaver-secondary_school,42.0,vocational,taken
male,86.0,Junior_cycle_incomplete-vocational_school,61.0,vocational,not_taken
male,65.0,Primary_terminal_leaver,18.0,primary_terminal_leaver,not_taken
male,85.0,Junior_cycle_incomplete-vocational_school,31.0,vocational,not_taken
female,117.0,3rd_level_complete,51.0,secondary,taken
male,92.0,Junior_cycle_incomplete-secondary_school,58.0,secondary,not_taken
male,70.0,Primary_terminal_leaver,37.0,primary_terminal_leaver,not_taken
male,70.0,Junior_cycle_incomplete-vocational_school,43.0,vocational,not_taken
male,108.0,Junior_cycle_terminal_leaver-vocational_school,35.0,vocational,not_taken
female,109.0,3rd_level_complete,40.0,secondary,taken
male,82.0,Primary_terminal_leaver,31.0,primary_terminal_leaver,not_taken
male,72.0,Junior_cycle_terminal_leaver-vocational_school,37.0,vocational,not_taken
female,96.0,Junior_cycle_incomplete-vocational_school,43.0,vocational,not_taken
female,85.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,87.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
male,99.0,3rd_level_complete,37.0,secondary,taken
female,111.0,Senior_cycle_terminal_leaver-secondary_school,58.0,secondary,taken
female,108.0,Senior_cycle_terminal_leaver-secondary_school,58.0,secondary,taken
male,101.0,3rd_level_complete,57.0,secondary,taken
male,98.0,Junior_cycle_terminal_leaver-vocational_school,58.0,vocational,not_taken
male,118.0,Senior_cycle_terminal_leaver-secondary_school,71.0,secondary,taken
female,70.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
male,89.0,Junior_cycle_incomplete-vocational_school,43.0,vocational,not_taken
female,90.0,Senior_cycle_terminal_leaver-secondary_school,57.0,secondary,taken
female,90.0,Junior_cycle_terminal_leaver-secondary_school,33.0,secondary,not_taken
female,113.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,114.0,3rd_level_complete,43.0,secondary,taken
female,109.0,Senior_cycle_terminal_leaver-secondary_school,71.0,secondary,taken
female,102.0,Senior_cycle_terminal_leaver-secondary_school,40.0,secondary,taken
female,100.0,Junior_cycle_terminal_leaver-vocational_school,18.0,vocational,not_taken
male,125.0,Junior_cycle_terminal_leaver-vocational_school,71.0,vocational,not_taken
female,111.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
female,134.0,3rd_level_complete,,secondary,taken
male,86.0,Primary_terminal_leaver,18.0,primary_terminal_leaver,not_taken
female,85.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
female,109.0,Junior_cycle_terminal_leaver-vocational_school,43.0,vocational,not_taken
female,109.0,Senior_cycle_incomplete-secondary_school,40.0,secondary,not_taken
male,91.0,Junior_cycle_terminal_leaver-secondary_school,37.0,secondary,not_taken
female,72.0,Primary_terminal_leaver,,primary_terminal_leaver,not_taken
male,114.0,Senior_cycle_terminal_leaver-secondary_school,71.0,secondary,taken
female,94.0,Senior_cycle_terminal_leaver-secondary_school,35.0,secondary,taken
