Married,Age,Years_of_education,Male,Religious,Sex_partners,Income,Drug_use,Same_sex_relations,target
0,39.0,18.0,1,1,1.0,85000.0,0,0,0.0
0,61.0,12.0,0,1,0.0,23750.0,0,0,0.0
1,34.0,12.0,0,1,1.0,16250.0,0,0,0.0
0,25.0,16.0,1,1,3.0,27500.0,0,0,0.0
0,27.0,16.0,0,1,7.0,5500.0,0,0,1.0
1,40.0,10.0,0,1,1.0,16250.0,0,0,0.0
0,32.0,12.0,0,1,1.0,37500.0,0,0,0.0
0,53.0,10.0,0,1,1.0,6500.0,0,0,0.0
1,28.0,12.0,1,1,1.0,9000.0,0,0,0.0
0,38.0,12.0,0,1,1.0,13750.0,0,0,0.0
1,38.0,12.0,1,1,1.0,27500.0,1,0,1.0
0,28.0,16.0,0,1,1.0,4500.0,0,0,1.0
1,61.0,17.0,1,1,1.0,45000.0,0,0,1.0
1,37.0,9.0,0,1,2.0,5500.0,0,1,1.0
1,39.0,13.0,1,1,1.0,55000.0,0,0,0.0
0,32.0,20.0,0,1,1.0,32500.0,0,0,0.0
1,57.0,12.0,0,1,1.0,9000.0,0,0,0.0
1,62.0,8.0,1,1,1.0,32500.0,0,0,0.0
1,36.0,19.0,0,1,1.0,18750.0,0,0,0.0
0,43.0,20.0,1,1,1.0,67500.0,0,0,0.0
1,31.0,17.0,0,1,1.0,500.0,0,0,0.0
1,49.0,12.0,1,1,1.0,16250.0,0,0,0.0
1,36.0,14.0,1,1,1.0,32500.0,0,0,0.0
1,51.0,16.0,1,1,1.0,32500.0,0,0,0.0
1,39.0,12.0,0,1,1.0,2000.0,0,0,0.0
0,61.0,12.0,0,1,3.0,32500.0,0,0,0.0
1,76.0,8.0,0,1,0.0,4500.0,0,0,0.0
1,38.0,16.0,1,1,1.0,18750.0,0,0,0.0
1,52.0,14.0,0,1,1.0,32500.0,0,0,0.0
0,34.0,14.0,0,1,2.0,18750.0,0,0,1.0
1,36.0,18.0,0,1,1.0,16250.0,0,0,1.0
1,40.0,14.0,1,1,2.0,85000.0,0,0,0.0
1,31.0,14.0,0,1,3.0,16250.0,0,0,1.0
0,49.0,12.0,0,1,4.0,,0,0,0.0
1,30.0,14.0,0,1,3.0,18750.0,0,0,0.0
1,64.0,12.0,1,0,1.0,55000.0,0,0,2.0
0,48.0,17.0,0,1,1.0,32500.0,0,0,3.0
1,58.0,14.0,1,1,1.0,55000.0,0,0,0.0
0,45.0,12.0,1,1,4.0,21250.0,0,0,0.0
0,42.0,12.0,0,1,0.0,27500.0,0,0,2.0
0,29.0,16.0,1,1,10.0,23750.0,0,0,0.0
0,34.0,12.0,0,1,3.0,11250.0,0,0,2.0
0,54.0,10.0,1,1,1.0,16250.0,0,0,0.0
1,41.0,19.0,1,0,1.0,27500.0,0,0,0.0
1,32.0,10.0,1,1,1.0,16250.0,0,0,0.0
1,52.0,12.0,1,0,1.0,45000.0,0,0,0.0
1,35.0,16.0,0,0,1.0,,0,0,2.0
1,27.0,16.0,0,1,1.0,32500.0,0,0,0.0
0,56.0,11.0,0,1,0.0,11250.0,0,0,0.0
1,36.0,18.0,1,1,1.0,32500.0,0,0,0.0
1,40.0,16.0,1,1,1.0,55000.0,0,0,1.0
0,32.0,12.0,0,1,2.0,4500.0,0,0,0.0
1,44.0,12.0,1,1,1.0,45000.0,0,0,0.0
1,23.0,12.0,1,1,15.0,23750.0,0,0,0.0
1,35.0,12.0,1,1,1.0,55000.0,0,0,0.0
1,30.0,14.0,0,1,1.0,11250.0,0,0,0.0
0,44.0,11.0,1,1,4.0,500.0,0,0,0.0
1,48.0,12.0,1,1,1.0,32500.0,0,0,0.0
1,49.0,13.0,1,1,1.0,85000.0,0,0,0.0
0,35.0,14.0,1,1,1.0,32500.0,0,0,0.0
1,43.0,15.0,0,1,1.0,16250.0,0,0,0.0
1,34.0,14.0,1,1,1.0,21250.0,0,0,0.0
1,40.0,16.0,0,1,1.0,6500.0,0,0,0.0
0,30.0,12.0,1,1,5.0,16250.0,1,0,0.0
1,29.0,12.0,0,1,2.0,18750.0,0,0,1.0
0,39.0,16.0,0,1,1.0,45000.0,0,0,1.0
1,36.0,16.0,1,0,1.0,55000.0,0,0,0.0
1,34.0,12.0,1,1,10.0,23750.0,1,0,0.0
0,41.0,16.0,0,1,0.0,27500.0,0,0,1.0
1,38.0,14.0,1,1,1.0,23750.0,0,0,0.0
1,35.0,12.0,0,1,1.0,11250.0,0,0,0.0
1,38.0,13.0,0,1,1.0,9000.0,0,0,0.0
1,40.0,12.0,1,1,1.0,9000.0,0,0,0.0
0,57.0,15.0,1,1,2.0,9000.0,0,0,0.0
1,41.0,12.0,0,1,2.0,4500.0,0,0,0.0
1,36.0,14.0,1,1,5.0,13750.0,0,0,0.0
0,45.0,13.0,1,1,14.0,9000.0,1,0,0.0
1,31.0,16.0,0,1,3.0,32500.0,0,0,0.0
1,55.0,18.0,1,1,1.0,67500.0,0,0,1.0
0,36.0,12.0,0,1,4.0,500.0,0,1,0.0
1,65.0,12.0,1,0,0.0,55000.0,0,0,2.0
0,51.0,8.0,1,1,1.0,9000.0,0,0,0.0
1,35.0,14.0,1,1,5.0,21250.0,0,0,0.0
0,56.0,16.0,0,1,1.0,37500.0,0,0,0.0
1,48.0,12.0,1,1,1.0,55000.0,0,0,1.0
1,50.0,14.0,1,1,1.0,37500.0,0,0,0.0
1,48.0,12.0,0,1,1.0,500.0,0,0,0.0
1,34.0,12.0,0,1,1.0,32500.0,0,0,0.0
1,25.0,16.0,1,1,7.0,13750.0,0,0,0.0
1,68.0,13.0,1,1,1.0,,0,0,0.0
0,26.0,12.0,1,1,12.0,37500.0,0,0,0.0
0,44.0,18.0,0,1,0.0,45000.0,0,0,0.0
0,32.0,12.0,1,1,2.0,16250.0,0,0,0.0
0,45.0,12.0,1,1,1.0,16250.0,0,0,0.0
1,25.0,12.0,1,1,1.0,16250.0,1,0,0.0
0,39.0,13.0,0,1,5.0,27500.0,0,1,0.0
0,38.0,13.0,0,1,3.0,16250.0,0,0,0.0
1,27.0,12.0,1,1,2.0,,0,0,0.0
1,27.0,14.0,1,1,3.0,37500.0,0,0,1.0
1,27.0,12.0,1,1,7.0,11250.0,0,0,1.0
0,39.0,12.0,1,1,1.0,23750.0,0,0,0.0
1,35.0,17.0,0,1,1.0,11250.0,0,0,0.0
1,32.0,12.0,0,1,1.0,3500.0,0,0,0.0
0,58.0,16.0,0,1,0.0,21250.0,0,0,2.0
0,42.0,16.0,0,1,4.0,23750.0,0,1,0.0
0,33.0,14.0,0,1,3.0,2000.0,0,0,0.0
0,39.0,16.0,1,1,2.0,37500.0,0,0,0.0
0,36.0,14.0,0,1,1.0,27500.0,0,0,0.0
1,44.0,11.0,0,1,1.0,9000.0,0,0,0.0
1,35.0,9.0,1,1,15.0,9000.0,0,0,0.0
1,40.0,18.0,1,1,1.0,45000.0,0,0,0.0
0,37.0,15.0,1,0,20.0,32500.0,0,1,1.0
1,47.0,12.0,0,1,1.0,500.0,0,0,1.0
1,43.0,15.0,1,1,2.0,4500.0,0,0,0.0
0,58.0,20.0,0,1,2.0,32500.0,0,0,0.0
1,59.0,14.0,0,1,1.0,18750.0,0,0,0.0
1,35.0,12.0,0,1,1.0,3500.0,0,0,2.0
1,55.0,10.0,1,1,1.0,,0,0,0.0
1,62.0,14.0,1,1,1.0,55000.0,0,0,0.0
