col_1,col_2,col_3,col_4,col_5,target
IND__NE,-1,0.0,1.0,1.0,91.0
MIN__GB,1,0.0,1.0,6.0,89.0
PIT__CIN,1,0.0,1.0,16.0,91.0
PIT__HOU,-1,1.0,0.0,17.0,90.0
DEN__PIT,1,1.0,1.0,10.0,91.0
BUF__NE,1,0.0,0.0,8.0,90.0
DEN__LAA,1,0.0,1.0,3.0,89.0
ATL__TB,1,0.0,1.0,12.0,91.0
WAS__NO,1,0.0,0.0,4.0,89.0
DAL__PHX,1,0.0,1.0,15.0,90.0
MIA__PHX,1,0.0,1.0,9.0,90.0
DET__ATL,1,0.0,0.0,16.0,89.0
CIN__IND,-1,0.0,1.0,12.0,90.0
BUF__CIN,1,0.0,1.0,12.0,89.0
HOU__DEN,1,0.0,1.0,6.0,91.0
CIN__CLE,1,2.0,1.0,3.0,89.0
HOU__LAA,1,0.0,1.0,11.0,89.0
WAS__IND,-1,4.0,0.0,16.0,90.0
MIN__DET,-1,0.0,1.0,5.0,90.0
NYG__SF,0,2.0,1.0,1.0,91.0
CHI__HOU,-1,0.0,1.0,6.0,89.0
HOU__NE,-1,0.0,0.0,4.0,91.0
LAN__GB,-1,0.0,1.0,3.0,89.0
WAS__PHA,-1,0.0,1.0,2.0,89.0
WAS__DET,1,0.0,0.0,9.0,90.0
PHX__ATL,1,0.0,1.0,7.0,89.0
NYJ__SD,-1,0.0,1.0,6.0,90.0
PHA__CIN,-1,0.0,1.0,12.0,91.0
MIA__IND,1,0.0,1.0,9.0,89.0
MIA__IND,-1,0.0,1.0,17.0,90.0
DEN__CIN,1,0.0,1.0,1.0,91.0
CHI__DET,1,0.0,0.0,3.0,89.0
MIA__IND,1,0.0,0.0,8.0,90.0
NYG__DAL,1,0.0,1.0,12.0,91.0
SEA__HOU,1,0.0,1.0,13.0,90.0
LAN__ATL,1,0.0,0.0,1.0,89.0
LAN__PHX,1,0.0,1.0,11.0,89.0
BUF__IND,-1,0.0,0.0,5.0,89.0
LAA__BUF,-1,0.0,1.0,15.0,91.0
PHX__NE,1,0.0,1.0,12.0,90.0
CLE__NYJ,1,0.0,1.0,2.0,89.0
ATL__GB,-1,0.0,1.0,14.0,91.0
DAL__PHA,-1,0.0,1.0,3.0,91.0
MIN__HOU,1,0.0,1.0,1.0,89.0
NYG__PHX,-1,0.0,1.0,7.0,90.0
BUF__GB,1,0.0,0.0,11.0,91.0
CIN__MIA,-1,0.0,1.0,6.0,89.0
BUF__NE,-1,0.0,0.0,11.0,89.0
PHA__DAL,1,0.0,1.0,16.0,90.0
PHA__WAS,1,2.0,1.0,10.0,90.0
PHA__SF,-1,0.0,1.0,3.0,89.0
NYG__PHA,-1,2.0,0.0,10.0,91.0
BUF__IND,1,0.0,1.0,1.0,90.0
MIN__PIT,-1,0.0,0.0,3.0,89.0
PHX__DET,1,0.0,0.0,1.0,89.0
CHI__SEA,1,0.0,1.0,1.0,90.0
PHA__PHX,1,0.0,0.0,13.0,91.0
LAA__SD,-1,1.0,0.0,10.0,89.0
NYG__DAL,1,0.0,0.0,4.0,89.0
DEN__PHX,1,4.0,0.0,15.0,89.0
CHI__GB,1,0.0,1.0,15.0,91.0
NYG__SEA,1,0.0,1.0,11.0,89.0
MIA__DAL,-1,0.0,0.0,11.0,89.0
BUF__PHX,1,0.0,1.0,10.0,90.0
LAN__NE,-1,0.0,0.0,16.0,89.0
LAA__PIT,1,0.0,1.0,3.0,90.0
CIN__NE,1,0.0,1.0,3.0,90.0
CLE__IND,-1,0.0,0.0,14.0,89.0
CLE__NYJ,-1,0.0,0.0,2.0,90.0
WAS__HOU,-1,0.0,1.0,10.0,91.0
SEA__SD,1,0.0,1.0,9.0,91.0
HOU__BUF,0,2.0,1.0,12.0,90.0
LAA__DEN,-1,0.0,1.0,2.0,91.0
MIA__TB,1,0.0,1.0,14.0,91.0
BUF__MIA,1,2.0,0.0,12.0,91.0
MIN__CHI,1,1.0,1.0,13.0,89.0
BUF__IND,1,1.0,0.0,16.0,91.0
SEA__DEN,-1,0.0,1.0,7.0,89.0
CHI__MIN,1,0.0,1.0,1.0,91.0
BUF__NYJ,1,4.0,0.0,16.0,89.0
CIN__NYJ,-1,0.0,1.0,1.0,90.0
NYJ__CLE,1,0.0,0.0,6.0,91.0
LAN__GB,-1,0.0,1.0,5.0,91.0
PHA__MIN,1,2.0,1.0,6.0,90.0
CIN__SD,1,0.0,0.0,2.0,90.0
BUF__MIA,1,0.0,1.0,8.0,89.0
HOU__CIN,-1,2.0,1.0,10.0,89.0
SEA__SD,-1,0.0,1.0,9.0,90.0
PHA__DAL,-1,0.0,1.0,14.0,89.0
CLE__TB,1,0.0,0.0,9.0,89.0
CIN__SEA,-1,0.0,1.0,14.0,89.0
SEA__KC,1,0.0,1.0,7.0,90.0
DAL__CIN,1,0.0,1.0,7.0,91.0
CHI__ATL,-1,0.0,1.0,10.0,90.0
MIA__DET,-1,0.0,0.0,3.0,91.0
DEN__PHA,-1,0.0,1.0,8.0,89.0
BUF__IND,1,0.0,1.0,10.0,89.0
WAS__ATL,-1,0.0,0.0,15.0,89.0
LAN__NYJ,1,0.0,1.0,15.0,89.0
PHA__PHX,-1,0.0,1.0,2.0,90.0
CHI__DET,-1,0.0,1.0,13.0,90.0
BUF__NYJ,1,0.0,1.0,7.0,89.0
MIN__TB,-1,0.0,0.0,15.0,90.0
CHI__DEN,1,0.0,0.0,11.0,90.0
HOU__PIT,1,0.0,1.0,15.0,91.0
CHI__TB,-1,0.0,1.0,11.0,89.0
NYJ__IND,-1,0.0,0.0,8.0,91.0
DAL__NO,1,0.0,1.0,15.0,91.0
NYG__BUF,-1,4.0,1.0,15.0,90.0
CIN__CLE,-1,0.0,0.0,3.0,91.0
CHI__GB,1,3.0,0.0,8.0,91.0
NYJ__IND,-1,0.0,0.0,11.0,90.0
NYG__IND,1,2.0,0.0,9.0,90.0
LAN__HOU,1,0.0,1.0,9.0,90.0
HOU__CLE,1,0.0,1.0,14.0,90.0
DAL__GB,1,0.0,0.0,6.0,91.0
CHI__TB,1,0.0,1.0,16.0,90.0
DEN__DET,-1,3.0,0.0,12.0,90.0
BUF__NE,1,0.0,1.0,4.0,89.0
LAN__TB,1,0.0,0.0,2.0,90.0
NYG__PHA,-1,0.0,1.0,13.0,89.0
CHI__PHX,1,0.0,0.0,8.0,90.0
DEN__SD,-1,0.0,1.0,4.0,91.0
DEN__LAA,-1,0.0,1.0,11.0,91.0
BUF__PHA,1,0.0,1.0,13.0,90.0
LAA__KC,1,0.0,1.0,6.0,89.0
CIN__DET,1,0.0,1.0,11.0,89.0
WAS__PHX,-1,0.0,0.0,15.0,91.0
HOU__CIN,1,0.0,1.0,9.0,91.0
BUF__NYJ,-1,0.0,0.0,3.0,91.0
NYJ__PIT,-1,0.0,1.0,14.0,89.0
MIA__NE,1,0.0,0.0,6.0,91.0
DET__PIT,-1,0.0,1.0,4.0,89.0
BUF__MIA,1,0.0,1.0,16.0,90.0
NYG__DAL,1,0.0,0.0,2.0,90.0
LAA__LAN,-1,0.0,1.0,8.0,91.0
CHI__DET,-1,0.0,1.0,14.0,89.0
BUF__IND,1,0.0,1.0,7.0,91.0
BUF__NO,-1,0.0,1.0,14.0,89.0
LAA__CIN,1,0.0,1.0,15.0,90.0
CIN__SEA,-1,0.0,1.0,6.0,91.0
PHA__DAL,1,3.0,0.0,12.0,89.0
NYG__CLE,-1,0.0,1.0,4.0,91.0
NYG__PHX,1,0.0,0.0,9.0,89.0
MIN__ATL,1,0.0,1.0,14.0,89.0
MIA__NE,-1,3.0,1.0,7.0,90.0
MIA__LAA,-1,2.0,1.0,11.0,90.0
PHA__SD,-1,0.0,0.0,9.0,89.0
LAN__SD,1,0.0,1.0,7.0,91.0
SEA__NYJ,1,0.0,1.0,2.0,91.0
CLE__DET,-1,3.0,0.0,12.0,89.0
WAS__PHX,1,0.0,1.0,1.0,90.0
DEN__KC,-1,2.0,1.0,2.0,90.0
WAS__PHA,1,0.0,1.0,7.0,90.0
DEN__SD,1,0.0,1.0,15.0,90.0
MIA__PHA,1,1.0,1.0,14.0,90.0
CIN__HOU,-1,1.0,1.0,2.0,91.0
WAS__CHI,-1,0.0,1.0,14.0,90.0
MIN__PHX,1,0.0,1.0,7.0,91.0
ATL__TB,-1,0.0,0.0,13.0,90.0
CHI__WAS,-1,0.0,0.0,12.0,89.0
NYG__CIN,-1,0.0,0.0,14.0,91.0
SEA__NE,1,0.0,0.0,5.0,90.0
NYJ__GB,-1,0.0,1.0,10.0,91.0
NYG__DAL,1,0.0,1.0,4.0,90.0
LAA__NE,-1,0.0,1.0,12.0,89.0
HOU__DAL,-1,0.0,1.0,11.0,91.0
MIN__GB,1,1.0,1.0,13.0,90.0
BUF__PIT,1,0.0,1.0,2.0,91.0
NYG__DAL,-1,0.0,0.0,5.0,91.0
PHX__IND,1,0.0,1.0,13.0,90.0
WAS__PHX,1,0.0,1.0,3.0,91.0
PHA__DAL,-1,0.0,1.0,16.0,91.0
NYG__PHA,-1,0.0,0.0,12.0,90.0
LAA__ATL,-1,0.0,0.0,4.0,91.0
HOU__LAA,1,0.0,1.0,1.0,91.0
CLE__KC,-1,0.0,1.0,11.0,89.0
MIA__NE,1,0.0,0.0,1.0,90.0
MIA__SEA,1,0.0,1.0,15.0,90.0
LAN__PHX,-1,0.0,1.0,1.0,91.0
LAA__SD,-1,0.0,1.0,17.0,90.0
HOU__CLE,0,0.0,0.0,16.0,91.0
PIT__IND,1,1.0,0.0,6.0,91.0
LAA__SEA,1,0.0,1.0,6.0,90.0
WAS__DAL,-1,0.0,1.0,13.0,91.0
MIN__TB,1,0.0,1.0,10.0,91.0
DET__TB,1,0.0,1.0,15.0,89.0
WAS__NE,1,4.0,0.0,15.0,90.0
LAA__DEN,1,0.0,1.0,13.0,89.0
MIN__NO,1,0.0,1.0,2.0,90.0
BUF__CLE,1,0.0,0.0,9.0,90.0
HOU__CIN,1,0.0,1.0,6.0,90.0
MIN__PHA,-1,0.0,0.0,11.0,89.0
IND__NYJ,1,1.0,1.0,11.0,89.0
CHI__TB,-1,0.0,0.0,2.0,91.0
ATL__NO,-1,0.0,1.0,5.0,90.0
HOU__MIA,0,0.0,0.0,8.0,91.0
PIT__SD,1,0.0,1.0,1.0,91.0
HOU__KC,-1,0.0,0.0,12.0,89.0
HOU__NYG,-1,4.0,0.0,17.0,91.0
CIN__PIT,1,1.0,1.0,11.0,90.0
DET__DAL,1,0.0,1.0,9.0,91.0
PHA__WAS,-1,0.0,1.0,10.0,89.0
WAS__CIN,1,0.0,0.0,4.0,91.0
CIN__CLE,-1,0.0,1.0,17.0,90.0
PHX__TB,-1,0.0,1.0,12.0,89.0
BUF__TB,-1,0.0,0.0,4.0,91.0
LAN__ATL,1,0.0,1.0,5.0,89.0
WAS__LAN,1,0.0,0.0,14.0,91.0
LAN__BUF,-1,2.0,0.0,6.0,89.0
SEA__MIN,-1,0.0,1.0,11.0,90.0
SEA__SD,-1,0.0,1.0,8.0,89.0
LAA__SD,1,0.0,0.0,7.0,90.0
DEN__LAA,-1,0.0,0.0,1.0,90.0
DET__MIN,1,0.0,1.0,6.0,91.0
CIN__HOU,1,0.0,1.0,15.0,89.0
NYG__DET,-1,0.0,1.0,2.0,89.0
HOU__MIA,1,0.0,1.0,4.0,89.0
NYG__PHX,1,0.0,1.0,3.0,89.0
HOU__CLE,-1,4.0,1.0,16.0,89.0
BUF__SEA,-1,2.0,0.0,13.0,89.0
NYG__PIT,-1,2.0,0.0,7.0,91.0
BUF__CHI,1,0.0,1.0,5.0,91.0
WAS__PHX,1,1.0,0.0,4.0,90.0
MIN__LAN,-1,0.0,1.0,9.0,89.0
SEA__KC,-1,0.0,1.0,5.0,89.0
BUF__NYJ,-1,0.0,1.0,7.0,90.0
CHI__NYJ,-1,2.0,1.0,4.0,91.0
DAL__CLE,1,0.0,0.0,1.0,91.0
MIN__DEN,-1,1.0,1.0,5.0,91.0
MIN__CIN,1,2.0,1.0,16.0,89.0
MIN__TB,1,0.0,1.0,4.0,89.0
NYJ__NE,1,0.0,0.0,12.0,91.0
HOU__NYJ,0,0.0,0.0,7.0,91.0
DEN__SEA,-1,0.0,1.0,3.0,90.0
PHA__ATL,0,0.0,0.0,11.0,90.0
BUF__MIA,-1,0.0,1.0,1.0,91.0
NYG__WAS,1,0.0,1.0,8.0,90.0
DEN__SD,1,0.0,0.0,17.0,91.0
DEN__KC,1,0.0,1.0,1.0,89.0
LAN__PIT,-1,2.0,0.0,8.0,90.0
MIN__DET,-1,0.0,1.0,13.0,91.0
CHI__PIT,1,0.0,0.0,10.0,89.0
LAN__CIN,-1,0.0,1.0,5.0,90.0
CIN__PIT,-1,0.0,1.0,11.0,91.0
NYJ__NE,1,0.0,0.0,4.0,90.0
SEA__DEN,0,0.0,1.0,13.0,91.0
DEN__SD,-1,0.0,0.0,16.0,89.0
DEN__PIT,1,0.0,1.0,9.0,89.0
LAA__KC,-1,0.0,1.0,12.0,90.0
DET__GB,-1,0.0,1.0,4.0,90.0
ATL__NE,-1,0.0,1.0,6.0,89.0
CIN__PIT,1,0.0,0.0,5.0,89.0
CIN__KC,-1,0.0,0.0,4.0,89.0
DEN__MIN,-1,1.0,0.0,9.0,90.0
DET__GB,1,4.0,0.0,16.0,90.0
PIT__HOU,1,0.0,1.0,2.0,90.0
BUF__NE,-1,0.0,0.0,13.0,91.0
MIA__NYJ,-1,0.0,1.0,3.0,89.0
LAA__SD,-1,0.0,1.0,6.0,91.0
DEN__CLE,-1,2.0,1.0,5.0,90.0
CIN__NO,-1,0.0,1.0,9.0,90.0
LAA__IND,1,0.0,1.0,3.0,91.0
WAS__DAL,-1,3.0,0.0,12.0,90.0
PIT__NE,1,0.0,1.0,15.0,89.0
PHX__DAL,-1,1.0,1.0,4.0,91.0
MIA__NE,1,1.0,1.0,11.0,91.0
LAN__DAL,-1,0.0,0.0,13.0,89.0
PHA__PHX,1,0.0,0.0,6.0,89.0
CLE__CIN,-1,0.0,1.0,13.0,89.0
MIN__GB,-1,0.0,0.0,12.0,89.0
NYJ__NE,-1,0.0,1.0,16.0,91.0
LAA__SD,1,0.0,1.0,1.0,89.0
PHA__GB,1,0.0,1.0,15.0,90.0
CHI__TB,1,4.0,1.0,16.0,91.0
NYG__WAS,0,0.0,1.0,6.0,89.0
LAA__DEN,1,0.0,0.0,13.0,90.0
LAN__IND,1,0.0,1.0,2.0,89.0
NYG__DAL,1,4.0,1.0,15.0,89.0
LAA__SEA,-1,0.0,1.0,4.0,89.0
DEN__SEA,0,0.0,1.0,3.0,91.0
BUF__NYJ,1,0.0,1.0,14.0,91.0
PIT__SEA,-1,0.0,1.0,8.0,91.0
LAA__CHI,1,0.0,1.0,4.0,90.0
WAS__CHI,1,0.0,0.0,6.0,91.0
LAN__DAL,-1,0.0,1.0,11.0,90.0
NYG__PHA,-1,0.0,1.0,15.0,91.0
NYG__PHX,0,0.0,0.0,11.0,91.0
NYG__PHX,-1,0.0,0.0,16.0,90.0
WAS__NYG,-1,0.0,1.0,6.0,90.0
HOU__IND,1,0.0,1.0,3.0,90.0
BUF__NYJ,1,2.0,0.0,3.0,90.0
PIT__NYJ,1,0.0,0.0,12.0,90.0
DAL__PIT,1,3.0,1.0,14.0,91.0
HOU__NYJ,-1,0.0,1.0,8.0,90.0
MIN__GB,-1,4.0,1.0,17.0,91.0
DEN__NE,1,0.0,1.0,14.0,91.0
PIT__CIN,-1,0.0,1.0,13.0,90.0
NYJ__TB,1,0.0,1.0,1.0,91.0
MIA__NYJ,1,0.0,0.0,10.0,90.0
LAA__SEA,1,1.0,0.0,2.0,90.0
MIN__CLE,-1,0.0,0.0,15.0,89.0
CHI__PHA,1,2.0,1.0,4.0,89.0
MIA__PIT,1,0.0,0.0,4.0,90.0
WAS__PHA,1,2.0,1.0,5.0,91.0
NYG__PHA,1,1.0,1.0,1.0,90.0
BUF__IND,1,0.0,0.0,14.0,90.0
CHI__TB,1,0.0,0.0,9.0,90.0
MIN__TB,1,0.0,0.0,10.0,89.0
WAS__PHX,-1,0.0,1.0,5.0,89.0
PHA__PIT,1,0.0,1.0,4.0,91.0
CHI__CIN,0,0.0,1.0,1.0,89.0
LAA__KC,-1,0.0,1.0,17.0,91.0
DEN__PHX,-1,0.0,1.0,16.0,91.0
MIN__DET,-1,0.0,1.0,5.0,89.0
WAS__CLE,1,0.0,1.0,7.0,91.0
CHI__LAN,1,0.0,1.0,8.0,89.0
CLE__SD,-1,0.0,1.0,3.0,90.0
NYJ__IND,-1,0.0,1.0,4.0,89.0
DEN__NE,-1,0.0,0.0,9.0,91.0
NYJ__DAL,1,0.0,1.0,9.0,90.0
ATL__PHX,-1,0.0,0.0,8.0,91.0
ATL__LAN,1,0.0,0.0,15.0,91.0
NYG__LAN,-1,0.0,1.0,2.0,91.0
CIN__LAA,-1,0.0,0.0,9.0,89.0
PHA__PHX,-1,4.0,0.0,17.0,90.0
DET__NYJ,1,0.0,1.0,15.0,91.0
PHA__NYG,-1,0.0,1.0,5.0,89.0
SEA__DET,1,0.0,1.0,17.0,90.0
PIT__ATL,1,0.0,1.0,9.0,90.0
DEN__IND,1,0.0,0.0,7.0,90.0
HOU__SD,1,0.0,0.0,2.0,89.0
LAA__DET,1,2.0,0.0,14.0,90.0
NYG__MIN,1,2.0,1.0,8.0,89.0
MIA__GB,-1,0.0,1.0,4.0,91.0
NYG__LAN,1,0.0,0.0,10.0,90.0
SEA__LAA,1,1.0,1.0,15.0,89.0
LAA__MIN,1,4.0,0.0,16.0,90.0
DAL__ATL,1,0.0,1.0,17.0,91.0
LAN__NO,1,1.0,0.0,12.0,89.0
WAS__MIA,1,0.0,1.0,13.0,90.0
DET__GB,1,0.0,0.0,16.0,91.0
CHI__DET,-1,1.0,0.0,15.0,90.0
LAN__ATL,1,0.0,1.0,7.0,90.0
DEN__SD,-1,0.0,1.0,5.0,89.0
MIA__IND,1,0.0,1.0,2.0,91.0
HOU__NE,-1,0.0,0.0,5.0,89.0
DET__CHI,1,3.0,1.0,14.0,91.0
NYG__LAA,1,0.0,1.0,16.0,89.0
MIA__IND,-1,0.0,0.0,10.0,91.0
CLE__PIT,1,0.0,1.0,1.0,90.0
BUF__DET,-1,0.0,1.0,17.0,91.0
DET__LAN,1,0.0,1.0,12.0,91.0
ATL__HOU,1,0.0,1.0,1.0,90.0
LAA__CIN,1,0.0,0.0,13.0,91.0
SEA__WAS,-1,4.0,1.0,16.0,89.0
DEN__IND,1,0.0,1.0,6.0,89.0
HOU__PIT,-1,0.0,0.0,13.0,91.0
CLE__MIA,-1,0.0,0.0,5.0,89.0
NYG__NE,-1,0.0,0.0,17.0,90.0
PHX__DAL,1,0.0,1.0,6.0,90.0
PHA__DAL,-1,0.0,0.0,8.0,90.0
IND__ATL,-1,0.0,1.0,3.0,89.0
NYG__MIN,1,0.0,1.0,14.0,90.0
MIN__CHI,-1,2.0,1.0,11.0,91.0
IND__MIA,1,0.0,1.0,15.0,89.0
BUF__NE,-1,0.0,1.0,11.0,90.0
DAL__PHX,1,0.0,1.0,10.0,91.0
IND__NE,-1,0.0,1.0,2.0,90.0
DET__IND,1,0.0,0.0,4.0,91.0
MIA__CLE,1,0.0,0.0,12.0,90.0
BUF__KC,-1,2.0,0.0,6.0,91.0
LAA__SD,-1,1.0,0.0,14.0,91.0
ATL__DAL,1,0.0,1.0,17.0,90.0
PHA__NE,1,0.0,1.0,9.0,90.0
ATL__PHX,-1,0.0,1.0,14.0,90.0
LAA__PHX,-1,0.0,1.0,14.0,89.0
MIA__PIT,-1,0.0,1.0,12.0,89.0
WAS__SD,-1,0.0,1.0,14.0,89.0
WAS__DET,1,1.0,1.0,1.0,91.0
WAS__DAL,-1,1.0,1.0,9.0,89.0
PIT__NE,0,0.0,1.0,3.0,91.0
WAS__LAA,-1,0.0,0.0,8.0,89.0
WAS__ATL,1,0.0,1.0,11.0,91.0
NYJ__NE,1,0.0,1.0,16.0,90.0
BUF__DEN,-1,0.0,1.0,4.0,90.0
MIN__GB,1,0.0,0.0,12.0,91.0
WAS__DEN,-1,2.0,1.0,11.0,89.0
BUF__DEN,-1,2.0,1.0,2.0,89.0
MIN__DET,1,0.0,0.0,7.0,89.0
LAN__NYG,1,0.0,1.0,10.0,89.0
DET__MIN,-1,0.0,1.0,10.0,90.0
MIN__PHX,1,0.0,0.0,9.0,91.0
PHX__DAL,-1,0.0,1.0,10.0,89.0
