DS_Name,T,N,p,k,Bin,Cost,SDratio,correl,cancor1,cancor2,fract1,fract2,skewness,kurtosis,Hc,Hx,MCx,EnAtr,NSRatio,Alg_Name,target
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,LogDisc,0.779
Letters,5000.0,20000.0,16.0,26.0,0.0,0.0,1.8795,0.2577,0.8896,0.8489,0.168,0.321,0.5698,3.5385,4.6996,3.094,0.5189,9.05685,4.96261,Kohonen,54.314
Belgian,1250.0,2500.0,28.0,2.0,0.0,0.0,1.5124,0.3503,0.8869,,1.0,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Cascade,455.064
Digits,9000.0,18000.0,16.0,10.0,0.0,0.0,1.5673,0.2119,0.8929,0.8902,0.2031,0.4049,0.8562,5.1256,3.3219,6.5452,0.5049,6.57932,11.9634,Dipol92,11.206
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,QuaDisc,12.886
Letters,5000.0,20000.0,16.0,26.0,0.0,0.0,1.8795,0.2577,0.8896,0.8489,0.168,0.321,0.5698,3.5385,4.6996,3.094,0.5189,9.05685,4.96261,KNN,1.733
Shuttle,14500.0,58000.0,9.0,7.0,0.0,0.0,1.6067,0.3558,0.9668,0.6968,0.6252,0.9499,4.4371,160.311,0.9653,3.4271,0.3348,2.88321,9.23626,LVQ,51.781
Heart,270.0,270.0,13.0,2.0,5.0,1.0,1.0612,0.1236,0.7384,,1.0,,0.956,3.6494,0.9902,1.6386,0.0876,11.3037,17.7055,Bayes,0.0
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Alloc80,9.939
Shuttle,14500.0,58000.0,9.0,7.0,0.0,0.0,1.6067,0.3558,0.9668,0.6968,0.6252,0.9499,4.4371,160.311,0.9653,3.4271,0.3348,2.88321,9.23626,Cn2,2.408
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,LVQ,18.07
KlDigits,9000.0,18000.0,40.0,10.0,0.0,0.0,1.9657,0.1093,0.9207,0.9056,0.172,0.3385,0.1802,2.92,3.3219,5.5903,0.2029,16.3721,26.552,Dipol92,12.875
Faults,570.0,570.0,45.0,3.0,43.0,0.0,1.191,0.751,0.8842,0.3002,0.8966,1.0,1.8972,0.9866,1.5749,0.8717,0.0366,43.0301,22.8169,Castle,9.068
Faults,570.0,570.0,45.0,3.0,43.0,0.0,1.191,0.751,0.8842,0.3002,0.8966,1.0,1.8972,0.9866,1.5749,0.8717,0.0366,43.0301,22.8169,LVQ,17.003
Vehicle,846.0,846.0,18.0,4.0,0.0,0.0,1.5392,0.4828,0.842,0.8189,0.4696,0.9139,0.8282,5.18,1.9979,4.2472,0.3538,5.64698,11.0045,Cascade,10.589
Credit,2670.0,8900.0,16.0,2.0,8.0,0.0,1.0273,0.0825,0.7618,,1.0,,1.2082,4.4046,1.0,1.77,0.641,1.56006,1.76131,CART,9.523
Letters,5000.0,20000.0,16.0,26.0,0.0,0.0,1.8795,0.2577,0.8896,0.8489,0.168,0.321,0.5698,3.5385,4.6996,3.094,0.5189,9.05685,4.96261,Default,258.86
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Cal5,2.711
Chromosone,20000.0,40000.0,16.0,24.0,0.0,0.0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Kohonen,45.885
Technical,2580.0,7078.0,56.0,91.0,0.0,0.0,2.2442,,0.9165,0.6818,0.5575,0.866,6.7156,108.296,4.8787,0.3672,0.1815,26.8799,1.02314,Kohonen,47.389
Faults,570.0,570.0,45.0,3.0,43.0,0.0,1.191,0.751,0.8842,0.3002,0.8966,1.0,1.8972,0.9866,1.5749,0.8717,0.0366,43.0301,22.8169,IndCART,10.139
NewBelgian,1000.0,3000.0,57.0,2.0,0.0,0.0,1.0638,0.1216,0.5286,,1.0,,1.118,6.7738,0.3879,3.83,0.0421,9.21378,89.9739,QuaDisc,6.142
Belgian,1250.0,2500.0,28.0,2.0,0.0,0.0,1.5124,0.3503,0.8869,,1.0,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Castle,18.77
Faults,570.0,570.0,45.0,3.0,43.0,0.0,1.191,0.751,0.8842,0.3002,0.8966,1.0,1.8972,0.9866,1.5749,0.8717,0.0366,43.0301,22.8169,BackProp,3.401
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Ac2,9.035
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Kohonen,67.655
Shuttle,14500.0,58000.0,9.0,7.0,0.0,0.0,1.6067,0.3558,0.9668,0.6968,0.6252,0.9499,4.4371,160.311,0.9653,3.4271,0.3348,2.88321,9.23626,BayesTree,1.204
Belgian,1250.0,2500.0,28.0,2.0,0.0,0.0,1.5124,0.3503,0.8869,,1.0,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,LVQ,21.975
Vehicle,846.0,846.0,18.0,4.0,0.0,0.0,1.5392,0.4828,0.842,0.8189,0.4696,0.9139,0.8282,5.18,1.9979,4.2472,0.3538,5.64698,11.0045,Cal5,10.508
Faults,570.0,570.0,45.0,3.0,43.0,0.0,1.191,0.751,0.8842,0.3002,0.8966,1.0,1.8972,0.9866,1.5749,0.8717,0.0366,43.0301,22.8169,QuaDisc,7.494
Segment,2310.0,2310.0,11.0,7.0,0.0,0.0,4.0014,0.1425,0.976,0.9623,0.3098,0.611,2.958,24.4813,2.8072,3.0787,0.6672,4.20743,3.61436,BackProp,6.762
CUT,7480.0,18700.0,20.0,2.0,0.0,0.0,1.032,0.2178,0.55,,1.0,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,RBF,4.772
Diabetes,768.0,768.0,8.0,2.0,0.0,0.0,1.0377,0.1439,0.5507,,1.0,,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,BayesTree,3.196
Heart,270.0,270.0,13.0,2.0,5.0,1.0,1.0612,0.1236,0.7384,,1.0,,0.956,3.6494,0.9902,1.6386,0.0876,11.3037,17.7055,Cascade,1.352
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Smart,2.102
Head,900.0,900.0,6.0,3.0,1.0,1.0,1.1231,0.1217,0.7176,0.1057,0.9787,1.0,1.0071,5.0408,1.3574,1.9786,0.1929,7.03681,9.25713,NewId,26.391
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,Smart,2.286
Faults,570.0,570.0,45.0,3.0,43.0,0.0,1.191,0.751,0.8842,0.3002,0.8966,1.0,1.8972,0.9866,1.5749,0.8717,0.0366,43.0301,22.8169,Discrim,1.889
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,C4_5,1.868
Chromosone,20000.0,40000.0,16.0,24.0,0.0,0.0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,NewId,46.905
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,QuaDisc,27.105
Digits,9000.0,18000.0,16.0,10.0,0.0,0.0,1.5673,0.2119,0.8929,0.8902,0.2031,0.4049,0.8562,5.1256,3.3219,6.5452,0.5049,6.57932,11.9634,Default,382.362
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,Castle,20.991
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,KNN,3.893
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,IndCART,0.623
NewBelgian,1000.0,3000.0,57.0,2.0,0.0,0.0,1.0638,0.1216,0.5286,,1.0,,1.118,6.7738,0.3879,3.83,0.0421,9.21378,89.9739,NewId,1.117
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Bayes,1.557
German_Credit,1000.0,1000.0,24.0,2.0,9.0,1.0,1.0369,0.0848,0.5044,,1.0,,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,Cal5,2.08
Digits,9000.0,18000.0,16.0,10.0,0.0,0.0,1.5673,0.2119,0.8929,0.8902,0.2031,0.4049,0.8562,5.1256,3.3219,6.5452,0.5049,6.57932,11.9634,KNN,0.0
Belgian,1250.0,2500.0,28.0,2.0,0.0,0.0,1.5124,0.3503,0.8869,,1.0,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Dipol92,5.494
Chromosone,20000.0,40000.0,16.0,24.0,0.0,0.0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,ITrule,312.527
Technical,2580.0,7078.0,56.0,91.0,0.0,0.0,2.2442,,0.9165,0.6818,0.5575,0.866,6.7156,108.296,4.8787,0.3672,0.1815,26.8799,1.02314,CART,161.514
Head,900.0,900.0,6.0,3.0,1.0,1.0,1.1231,0.1217,0.7176,0.1057,0.9787,1.0,1.0071,5.0408,1.3574,1.9786,0.1929,7.03681,9.25713,ITrule,14.534
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,C4_5,1.807
Digits,9000.0,18000.0,16.0,10.0,0.0,0.0,1.5673,0.2119,0.8929,0.8902,0.2031,0.4049,0.8562,5.1256,3.3219,6.5452,0.5049,6.57932,11.9634,Kohonen,12.551
SatImage,2000.0,6435.0,36.0,6.0,0.0,0.0,1.297,0.5977,0.9366,0.9332,0.3586,0.7146,0.7316,4.1737,2.4734,5.5759,0.9443,2.61929,4.9048,BackProp,6.896
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,BackProp,2.711
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cal5,0.0
Diabetes,768.0,768.0,8.0,2.0,0.0,0.0,1.0377,0.1439,0.5507,,1.0,,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,Discrim,0.133
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,Bayes,17.458
Chromosone,20000.0,40000.0,16.0,24.0,0.0,0.0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Dipol92,3.569
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Discrim,11.746
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,Discrim,3.126
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,LogDisc,16.834
Chromosone,20000.0,40000.0,16.0,24.0,0.0,0.0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,RBF,22.942
Chromosone,20000.0,40000.0,16.0,24.0,0.0,0.0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,LVQ,18.864
Head,900.0,900.0,6.0,3.0,1.0,1.0,1.1231,0.1217,0.7176,0.1057,0.9787,1.0,1.0071,5.0408,1.3574,1.9786,0.1929,7.03681,9.25713,Default,19.334
Diabetes,768.0,768.0,8.0,2.0,0.0,0.0,1.0377,0.1439,0.5507,,1.0,,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,Cal5,1.798
Digits,9000.0,18000.0,16.0,10.0,0.0,0.0,1.5673,0.2119,0.8929,0.8902,0.2031,0.4049,0.8562,5.1256,3.3219,6.5452,0.5049,6.57932,11.9634,LogDisc,17.482
NewBelgian,1000.0,3000.0,57.0,2.0,0.0,0.0,1.0638,0.1216,0.5286,,1.0,,1.118,6.7738,0.3879,3.83,0.0421,9.21378,89.9739,Cn2,3.35
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,Ac2,10.247
Digits,9000.0,18000.0,16.0,10.0,0.0,0.0,1.5673,0.2119,0.8929,0.8902,0.2031,0.4049,0.8562,5.1256,3.3219,6.5452,0.5049,6.57932,11.9634,BackProp,14.792
SatImage,2000.0,6435.0,36.0,6.0,0.0,0.0,1.297,0.5977,0.9366,0.9332,0.3586,0.7146,0.7316,4.1737,2.4734,5.5759,0.9443,2.61929,4.9048,Castle,15.325
SatImage,2000.0,6435.0,36.0,6.0,0.0,0.0,1.297,0.5977,0.9366,0.9332,0.3586,0.7146,0.7316,4.1737,2.4734,5.5759,0.9443,2.61929,4.9048,QuaDisc,9.348
Faults,570.0,570.0,45.0,3.0,43.0,0.0,1.191,0.751,0.8842,0.3002,0.8966,1.0,1.8972,0.9866,1.5749,0.8717,0.0366,43.0301,22.8169,CART,9.068
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,Ac2,2.286
Technical,2580.0,7078.0,56.0,91.0,0.0,0.0,2.2442,,0.9165,0.6818,0.5575,0.866,6.7156,108.296,4.8787,0.3672,0.1815,26.8799,1.02314,Ac2,2.13
Vehicle,846.0,846.0,18.0,4.0,0.0,0.0,1.5392,0.4828,0.842,0.8189,0.4696,0.9139,0.8282,5.18,1.9979,4.2472,0.3538,5.64698,11.0045,C4_5,9.449
Credit,2670.0,8900.0,16.0,2.0,8.0,0.0,1.0273,0.0825,0.7618,,1.0,,1.2082,4.4046,1.0,1.77,0.641,1.56006,1.76131,QuaDisc,11.428
Shuttle,14500.0,58000.0,9.0,7.0,0.0,0.0,1.6067,0.3558,0.9668,0.6968,0.6252,0.9499,4.4371,160.311,0.9653,3.4271,0.3348,2.88321,9.23626,ITrule,48.169
Belgian,1250.0,2500.0,28.0,2.0,0.0,0.0,1.5124,0.3503,0.8869,,1.0,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,LogDisc,0.458
Head,900.0,900.0,6.0,3.0,1.0,1.0,1.1231,0.1217,0.7176,0.1057,0.9787,1.0,1.0071,5.0408,1.3574,1.9786,0.1929,7.03681,9.25713,KNN,12.825
Diabetes,768.0,768.0,8.0,2.0,0.0,0.0,1.0377,0.1439,0.5507,,1.0,,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,Ac2,3.529
Diabetes,768.0,768.0,8.0,2.0,0.0,0.0,1.0377,0.1439,0.5507,,1.0,,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,NewId,4.394
German_Credit,1000.0,1000.0,24.0,2.0,9.0,1.0,1.0369,0.0848,0.5044,,1.0,,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,C4_5,13.761
SatImage,2000.0,6435.0,36.0,6.0,0.0,0.0,1.297,0.5977,0.9366,0.9332,0.3586,0.7146,0.7316,4.1737,2.4734,5.5759,0.9443,2.61929,4.9048,KNN,0.0
Technical,2580.0,7078.0,56.0,91.0,0.0,0.0,2.2442,,0.9165,0.6818,0.5575,0.866,6.7156,108.296,4.8787,0.3672,0.1815,26.8799,1.02314,Default,120.692
Digits,9000.0,18000.0,16.0,10.0,0.0,0.0,1.5673,0.2119,0.8929,0.8902,0.2031,0.4049,0.8562,5.1256,3.3219,6.5452,0.5049,6.57932,11.9634,Alloc80,9.413
CUT,7480.0,18700.0,20.0,2.0,0.0,0.0,1.032,0.2178,0.55,,1.0,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Castle,12.885
Chromosone,20000.0,40000.0,16.0,24.0,0.0,0.0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Discrim,11.726
Head,900.0,900.0,6.0,3.0,1.0,1.0,1.1231,0.1217,0.7176,0.1057,0.9787,1.0,1.0071,5.0408,1.3574,1.9786,0.1929,7.03681,9.25713,BayesTree,3.499
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,Alloc80,2.779
CUT,7480.0,18700.0,20.0,2.0,0.0,0.0,1.032,0.2178,0.55,,1.0,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,NewId,2.386
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,Cascade,166.556
German_Credit,1000.0,1000.0,24.0,2.0,9.0,1.0,1.0369,0.0848,0.5044,,1.0,,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,Cascade,3041.74
Shuttle,14500.0,58000.0,9.0,7.0,0.0,0.0,1.6067,0.3558,0.9668,0.6968,0.6252,0.9499,4.4371,160.311,0.9653,3.4271,0.3348,2.88321,9.23626,LogDisc,460.012
SatImage,2000.0,6435.0,36.0,6.0,0.0,0.0,1.297,0.5977,0.9366,0.9332,0.3586,0.7146,0.7316,4.1737,2.4734,5.5759,0.9443,2.61929,4.9048,Discrim,11.8
Segment,2310.0,2310.0,11.0,7.0,0.0,0.0,4.0014,0.1425,0.976,0.9623,0.3098,0.611,2.958,24.4813,2.8072,3.0787,0.6672,4.20743,3.61436,Cascade,273.295
CUT,7480.0,18700.0,20.0,2.0,0.0,0.0,1.032,0.2178,0.55,,1.0,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Default,12.408
Chromosone,20000.0,40000.0,16.0,24.0,0.0,0.0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Cal5,81.573
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,QuaDisc,3.126
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,LogDisc,3.474
Digits,9000.0,18000.0,16.0,10.0,0.0,0.0,1.5673,0.2119,0.8929,0.8902,0.2031,0.4049,0.8562,5.1256,3.3219,6.5452,0.5049,6.57932,11.9634,Cal5,77.548
Heart,270.0,270.0,13.0,2.0,5.0,1.0,1.0612,0.1236,0.7384,,1.0,,0.956,3.6494,0.9902,1.6386,0.0876,11.3037,17.7055,ITrule,2.049
CUT,7480.0,18700.0,20.0,2.0,0.0,0.0,1.032,0.2178,0.55,,1.0,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,BackProp,4.295
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,ITrule,39.904
Letters,5000.0,20000.0,16.0,26.0,0.0,0.0,1.8795,0.2577,0.8896,0.8489,0.168,0.321,0.5698,3.5385,4.6996,3.094,0.5189,9.05685,4.96261,Dipol92,32.358
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,RBF,3.325
Chromosone,20000.0,40000.0,16.0,24.0,0.0,0.0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,Smart,22.433
Heart,270.0,270.0,13.0,2.0,5.0,1.0,1.0612,0.1236,0.7384,,1.0,,0.956,3.6494,0.9902,1.6386,0.0876,11.3037,17.7055,Cn2,5.712
KlDigits,9000.0,18000.0,40.0,10.0,0.0,0.0,1.9657,0.1093,0.9207,0.9056,0.172,0.3385,0.1802,2.92,3.3219,5.5903,0.2029,16.3721,26.552,Default,596.315
Shuttle,14500.0,58000.0,9.0,7.0,0.0,0.0,1.6067,0.3558,0.9668,0.6968,0.6252,0.9499,4.4371,160.311,0.9653,3.4271,0.3348,2.88321,9.23626,Ac2,37.331
NewBelgian,1000.0,3000.0,57.0,2.0,0.0,0.0,1.0638,0.1216,0.5286,,1.0,,1.118,6.7738,0.3879,3.83,0.0421,9.21378,89.9739,Kohonen,19.821
Segment,2310.0,2310.0,11.0,7.0,0.0,0.0,4.0014,0.1425,0.976,0.9623,0.3098,0.611,2.958,24.4813,2.8072,3.0787,0.6672,4.20743,3.61436,LVQ,4.508
SatImage,2000.0,6435.0,36.0,6.0,0.0,0.0,1.297,0.5977,0.9366,0.9332,0.3586,0.7146,0.7316,4.1737,2.4734,5.5759,0.9443,2.61929,4.9048,BayesTree,8.122
Head,900.0,900.0,6.0,3.0,1.0,1.0,1.1231,0.1217,0.7176,0.1057,0.9787,1.0,1.0071,5.0408,1.3574,1.9786,0.1929,7.03681,9.25713,Cal5,11.317
Vehicle,846.0,846.0,18.0,4.0,0.0,0.0,1.5392,0.4828,0.842,0.8189,0.4696,0.9139,0.8282,5.18,1.9979,4.2472,0.3538,5.64698,11.0045,KNN,10.182
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,NewId,0.831
Segment,2310.0,2310.0,11.0,7.0,0.0,0.0,4.0014,0.1425,0.976,0.9623,0.3098,0.611,2.958,24.4813,2.8072,3.0787,0.6672,4.20743,3.61436,Ac2,0.282
SatImage,2000.0,6435.0,36.0,6.0,0.0,0.0,1.297,0.5977,0.9366,0.9332,0.3586,0.7146,0.7316,4.1737,2.4734,5.5759,0.9443,2.61929,4.9048,IndCART,6.743
German_Credit,1000.0,1000.0,24.0,2.0,9.0,1.0,1.0369,0.0848,0.5044,,1.0,,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,Cn2,9.817
Heart,270.0,270.0,13.0,2.0,5.0,1.0,1.0612,0.1236,0.7384,,1.0,,0.956,3.6494,0.9902,1.6386,0.0876,11.3037,17.7055,BackProp,2.907
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Dipol92,0.0
Digits,9000.0,18000.0,16.0,10.0,0.0,0.0,1.5673,0.2119,0.8929,0.8902,0.2031,0.4049,0.8562,5.1256,3.3219,6.5452,0.5049,6.57932,11.9634,BayesTree,41.688
Credit,2670.0,8900.0,16.0,2.0,8.0,0.0,1.0273,0.0825,0.7618,,1.0,,1.2082,4.4046,1.0,1.77,0.641,1.56006,1.76131,LogDisc,9.714
German_Credit,1000.0,1000.0,24.0,2.0,9.0,1.0,1.0369,0.0848,0.5044,,1.0,,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,Discrim,0.0
Heart,270.0,270.0,13.0,2.0,5.0,1.0,1.0612,0.1236,0.7384,,1.0,,0.956,3.6494,0.9902,1.6386,0.0876,11.3037,17.7055,Discrim,0.276
Belgian,1250.0,2500.0,28.0,2.0,0.0,0.0,1.5124,0.3503,0.8869,,1.0,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,Default,162.981
Chromosone,20000.0,40000.0,16.0,24.0,0.0,0.0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,IndCART,45.375
Letters,5000.0,20000.0,16.0,26.0,0.0,0.0,1.8795,0.2577,0.8896,0.8489,0.168,0.321,0.5698,3.5385,4.6996,3.094,0.5189,9.05685,4.96261,BayesTree,17.334
Head,900.0,900.0,6.0,3.0,1.0,1.0,1.1231,0.1217,0.7176,0.1057,0.9787,1.0,1.0071,5.0408,1.3574,1.9786,0.1929,7.03681,9.25713,Cascade,1.139
